JURISDI,metros_total,long_kilometros,cve_ent
Ags.,961192.0271450963,961.1920271450963,1
B.C.,1018749.1661402956,1018.7491661402955,2
B.C.S.,978634.503453936,978.634503453936,3
Camp.,2586742.825473436,2586.7428254734364,4
Chih.,5416984.478288171,5416.984478288171,8
Chis.,5742336.78538162,5742.33678538162,7
Coah.,3172191.4570992454,3172.1914570992453,5
Col.,641782.1070169848,641.7821070169848,6
D.F.,10487.4505610854,10.4874505610854,9
Dgo.,2770935.7364453156,2770.935736445316,10
Gro.,3185548.266986205,3185.548266986205,12
Gto.,2822941.623736304,2822.9416237363043,11
Hgo.,3249667.739052143,3249.667739052143,13
Jal.,4170113.836554543,4170.113836554543,14
Mex.,4021236.360154423,4021.236360154423,15
Mich.,4038859.6203472815,4038.8596203472816,16
Mor.,1042791.0601457498,1042.7910601457497,17
N.L.,3716237.1917612194,3716.2371917612195,19
Nay.,916396.7479384986,916.3967479384986,18
Oax.,3902136.0316924076,3902.1360316924074,20
Pue.,3840943.066398659,3840.9430663986586,21
Q.Roo.,2098586.271654118,2098.586271654118,23
Qro.,1031857.9135471208,1031.8579135471207,22
S.L.P.,3899690.260022352,3899.690260022352,24
Sin.,3712744.8959879703,3712.7448959879703,25
Son.,4844832.704448775,4844.832704448775,26
Tab.,3311564.1984149343,3311.5641984149343,27
Tamps.,2779360.060481889,2779.3600604818894,28
Tlax.,721360.5945043775,721.3605945043774,29
Ver.,5935038.101800808,5935.038101800807,30
Yuc.,4422623.346230386,4422.623346230386,31
Zac.,3771359.978366187,3771.3599783661866,32
